"site_id","site_name","lat","lon","state","us_l3code","us_l3name","ag_eco9","huc8","source"
"NRS18_MA_10013","NRS18_MA_10013",42.12794,-73.306809,"Massachusetts","58","Northeastern Highlands","NAP","H01100005","NRSA 2018-19"
"NRS18_MI_10052","NRS18_MI_10052",43.320673,-83.996991,"Michigan","57","Huron/Erie Lake Plains","TPL","H04080204","NRSA 2018-19"
"NRS18_CT_10018","NRS18_CT_10018",42.046913,-73.311725,"Connecticut","58","Northeastern Highlands","NAP","H01100005","NRSA 2018-19"
"NRS18_NE_10018","NRS18_NE_10018",40.841658,-99.744375,"Nebraska","27","Central Great Plains","SPL","H10200101","NRSA 2018-19"
"NRS18_IL_10020","NRS18_IL_10020",41.533279,-89.103726,"Illinois","54","Central Corn Belt Plains","TPL","H07130001","NRSA 2018-19"
"NRS18_WA_10065","NRS18_WA_10065",48.455054,-120.566141,"Washington","77","North Cascades","WMT","H17020008","NRSA 2018-19"
"NRS18_WA_10017","NRS18_WA_10017",47.990679,-123.502294,"Washington","77","North Cascades","WMT","H17110020","NRSA 2018-19"
"NRS18_WA_10010","NRS18_WA_10010",47.728918,-121.427561,"Washington","77","North Cascades","WMT","H17110009","NRSA 2018-19"
"NRS18_CA_10343","NRS18_CA_10343",40.307676,-121.858138,"California","6","Central California Foothills and Coastal Mountains","XER","H18020155","NRSA 2018-19"
"NRS18_MI_10047","NRS18_MI_10047",43.034841,-83.933231,"Michigan","56","Southern Michigan/Northern Indiana Drift Plains","UMW","H04080204","NRSA 2018-19"
"NRS18_NY_10033","NRS18_NY_10033",44.913348,-74.939466,"New York","83","Eastern Great Lakes Lowlands","NAP","H04150304","NRSA 2018-19"
"NRS18_NV_10001","NRS18_NV_10001",40.7413,-115.554364,"Nevada","13","Central Basin and Range","XER","H16040103","NRSA 2018-19"
"NRS18_WA_10044","NRS18_WA_10044",48.385004,-120.296423,"Washington","77","North Cascades","WMT","H17020008","NRSA 2018-19"
"NRS18_MA_10182","NRS18_MA_10182",42.540225,-72.86833,"Massachusetts","58","Northeastern Highlands","NAP","H01080206","NRSA 2018-19"
"NRS18_IL_10011","NRS18_IL_10011",41.151962,-87.914183,"Illinois","54","Central Corn Belt Plains","TPL","H07120001","NRSA 2018-19"
"NRS18_NY_10036","NRS18_NY_10036",44.622794,-75.226979,"New York","83","Eastern Great Lakes Lowlands","NAP","H04150304","NRSA 2018-19"
"NRS18_IL_10364","NRS18_IL_10364",39.160398,-89.095463,"Illinois","72","Interior River Valleys and Hills","TPL","H07140202","NRSA 2018-19"
"NRS18_OR_10016","NRS18_OR_10016",45.7653,-117.759881,"Oregon","11","Blue Mountains","WMT","H17060106","NRSA 2018-19"
"NRS18_NY_10015","NRS18_NY_10015",44.259282,-75.767434,"New York","83","Eastern Great Lakes Lowlands","NAP","H04150303","NRSA 2018-19"
"NRS18_ND_10054","NRS18_ND_10054",47.182266,-101.794264,"North Dakota","43","Northwestern Great Plains","NPL","H10130201","NRSA 2018-19"
"NRS18_KS_10033","NRS18_KS_10033",39.006699,-95.290439,"Kansas","40","Central Irregular Plains","TPL","H10270104","NRSA 2018-19"
"NRS18_WA_10519","NRS18_WA_10519",45.799944,-120.214183,"Washington","10","Columbia Plateau","XER","H17070101","NRSA 2018-19"
"NRS18_IL_10971","NRS18_IL_10971",39.92721,-87.84035,"Illinois","54","Central Corn Belt Plains","TPL","H05120108","NRSA 2018-19"
"NRS18_MA_10003","NRS18_MA_10003",42.709168,-72.45897,"Massachusetts","59","Northeastern Coastal Zone","NAP","H01080201","NRSA 2018-19"
"NRS18_MA_10019","NRS18_MA_10019",42.587269,-72.724018,"Massachusetts","58","Northeastern Highlands","NAP","H01080203","NRSA 2018-19"
"NRS18_ID_10001","NRS18_ID_10001",45.331483,-115.949949,"Idaho","16","Idaho Batholith","WMT","H17060208","NRSA 2018-19"
"NRS18_WI_10029","NRS18_WI_10029",43.023131,-89.400968,"Wisconsin","53","Southeastern Wisconsin Till Plains","TPL","H07090002","NRSA 2018-19"
"NRS18_WA_10060","NRS18_WA_10060",46.76266,-123.415852,"Washington","1","Coast Range","WMT","H17100106","NRSA 2018-19"
"NRS18_WA_10360","NRS18_WA_10360",46.788552,-123.446802,"Washington","1","Coast Range","WMT","H17100106","NRSA 2018-19"
"NRS18_WA_10018","NRS18_WA_10018",47.573646,-123.583234,"Washington","1","Coast Range","WMT","H17100102","NRSA 2018-19"
"NRS18_WA_10032","NRS18_WA_10032",47.582447,-124.298059,"Washington","1","Coast Range","WMT","H17100102","NRSA 2018-19"
"NRS18_DE_10005","NRS18_DE_10005",39.636487,-75.731717,"Delaware","63","Middle Atlantic Coastal Plain","CPL","H02040205","NRSA 2018-19"
"NRS18_OR_10015","NRS18_OR_10015",45.564446,-123.573102,"Oregon","1","Coast Range","WMT","H17100203","NRSA 2018-19"
"NRS18_KY_10020","NRS18_KY_10020",38.123412,-83.553826,"Kentucky","71","Interior Plateau","SAP","H05100101","NRSA 2018-19"
"NRS18_ID_10016","NRS18_ID_10016",42.939305,-115.701441,"Idaho","12","Snake River Plain","XER","H17050101","NRSA 2018-19"
"NRS18_RI_10018","NRS18_RI_10018",41.912787,-71.443436,"Rhode Island","59","Northeastern Coastal Zone","NAP","H01090004","NRSA 2018-19"
"NRS18_RI_10019","NRS18_RI_10019",41.915517,-71.666989,"Rhode Island","59","Northeastern Coastal Zone","NAP","H01090003","NRSA 2018-19"
"NRS18_WA_10016","NRS18_WA_10016",46.52077,-121.240418,"Washington","9","Eastern Cascades Slopes and Foothills","WMT","H17030002","NRSA 2018-19"
"NRS18_MA_10014","NRS18_MA_10014",42.625806,-72.360683,"Massachusetts","58","Northeastern Highlands","NAP","H01080202","NRSA 2018-19"
"NRS18_WA_10006","NRS18_WA_10006",46.228954,-123.392951,"Washington","1","Coast Range","WMT","H17080003","NRSA 2018-19"
"NRS18_WA_10034","NRS18_WA_10034",45.930854,-122.70963,"Washington","3","Willamette Valley","WMT","H17080002","NRSA 2018-19"
