cycle,source_dataset,indicator,database_style_key,epa_short_name,epa_label_description,boatable_label,wadeable_label,sample_or_record_type,legal_values_format,range_low,range_high,metadata_name_column,convenience_prefix
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_UID,UID,Unique site visit ID,,,COLUMN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_VISIT_NO,VISIT_NO,Sequential number of visit to site,,,VERIF,|1|2|R,,,PARAMETER,algaltox
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_AG_ECO9,AG_ECO9,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions",,,DESIGN,CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_CLASS,CLASS,Class of taxon,,,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_DATE_COL,DATE_COL,Date collected,,,VERIF,|01|02|03|04|05|06|07|08|09|10|11|12,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_EPA_REG,EPA_REG,EPA Region,,,DESIGN,Region_01|Region_02|Region_03|Region_04|Region_05|Region_06|Region_07|Region_08|Region_09|Region_10|,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_FAMILY,FAMILY,Family of taxon,,,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_FFG,FFG,"Functional feeding group used in metric calculations;Collector-filterer(CF),Collector-gatherer(CG),Parasite(PA),Piercer(PI),Scraper(SC),Shredder(SH)",,,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_GENUS,GENUS,Genus of taxon,,,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
1819,NRSA 1819 Benthic Macroinvertebrate Count,Benthic Macroinvertebrates,benthic_count_HABIT,HABIT,"Habit used in metric calculations;Burrower(BU),Climber(CB),Clinger(CN),Diver(DV),Planktonic(PK),Skater(SK),Sprawler(SP),Swimmer(SW)",,,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
