cycle,database_style_key,epa_short_name,indicator,source_dataset,epa_definition_what_it_measures,definition_source,sample_or_record_type_s,units,legal_values_format,range_low,range_high,definition_status,convenience_prefix,appears_in_count_datasets,metadata_record_count
1314,fish_mmi_CARNNTAX_WS_PT,CARNNTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for CARNNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_CENTPTAX_PT,CENTPTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for CENTPTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_CYPRNTAX_PT,CYPRNTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for CYPRNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_CYPRPTAX_WS,CYPRPTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for CYPRPTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_CYPRPTAX_WS_PT,CYPRPTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for CYPRPTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_DATE_COL,DATE_COL,Fish,NRSA 1314 Fish MMI,Date of data collection in field,2013–2014 EPA metadata,VERIF,,,,,Single metadata definition,fish_mmi,14,1
1314,fish_mmi_FISH_SAMPLING,FISH_SAMPLING,Fish,NRSA 1314 Fish MMI,Fish Sampling - not conducted or suspended,2013–2014 EPA metadata,FISH,,|NO_FISH|NOT_FISHED_REACH_MIN|NO_PERMIT|SITE_CONDITIONS|PERMIT_RESTRICT|EQUIPMENT_FAILURE|OTHER,,,Single metadata definition,fish_mmi,2,1
1314,fish_mmi_HERBPTAX_PT,HERBPTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for HERBPTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INDEX_VISIT,INDEX_VISIT,Fish,NRSA 1314 Fish MMI,Index visit Y/blank,2013–2014 EPA metadata,VERIF,,,,,Single metadata definition,fish_mmi,10,1
1314,fish_mmi_INTLINVPTAX_PT,INTLINVPTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for INTLINVPTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INTLLOTNTAX_WS,INTLLOTNTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for INTLLOTNTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INTLLOTNTAX_WS_PT,INTLLOTNTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for INTLLOTNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INTLLOTPTAX_WS,INTLLOTPTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for INTLLOTPTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INTLLOTPTAX_WS_PT,INTLLOTPTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for INTLLOTPTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INTLMIGRNTAX_PT,INTLMIGRNTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for INTLMIGRNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INTLMIGRPIND_PT,INTLMIGRPIND_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for INTLMIGRPIND,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INTLMIGRPTAX_PT,INTLMIGRPTAX_PT,Fish,NRSA 1314 Fish MMI,Score for INTLMIGRPTAX used in MMI,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INTLPTAX_PT,INTLPTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for INTLPTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INVNTAX_PT,INVNTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for INVNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INVPIND_WS,INVPIND_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for INVPIND,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INVPIND_WS_PT,INVPIND_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for INVPIND,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_INVPTAX_PT,INVPTAX_PT,Fish,NRSA 1314 Fish MMI,Score for INVPTAX used in MMI,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LAT_DD83,LAT_DD83,Fish,NRSA 1314 Fish MMI,Latitude (based on NAD83 datum) for stream site from NHD-based sample frame. | Latitude (based on NAD83 datum) for stream site from NHDPlusV2 Numeric. No missing values allowed.,2013–2014 EPA metadata,DESIGN,,Numeric,,,Multiple protocol-specific labels — see Metadata Detail,fish_mmi,8,2
1314,fish_mmi_LITHNTAX_PT,LITHNTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for LITHNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LITHNTAX_WS,LITHNTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for LITHNTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LITHNTAX_WS_PT,LITHNTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for LITHNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LITHPIND_PT,LITHPIND_PT,Fish,NRSA 1314 Fish MMI,Score for LITHPIND used in MMI,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LITHPIND_WS,LITHPIND_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for LITHPIND,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LITHPIND_WS_PT,LITHPIND_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for LITHPIND,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LITHPTAX_PT,LITHPTAX_PT,Fish,NRSA 1314 Fish MMI,Score for LITHPTAX used in MMI,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LITHPTAX_WS,LITHPTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for LITHPTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LITHPTAX_WS_PT,LITHPTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for LITHPTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LON_DD83,LON_DD83,Fish,NRSA 1314 Fish MMI,Longitude (based on NAD83 datum) for stream site from NHD-based sample frame. | Longitude (based on NAD83 datum) for stream site from NHDPlusV2 Numeric. No missing values allowed.,2013–2014 EPA metadata,DESIGN,,Numeric,,,Multiple protocol-specific labels — see Metadata Detail,fish_mmi,8,2
1314,fish_mmi_LOTNTAX_WS,LOTNTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for LOTNTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LOTNTAX_WS_PT,LOTNTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for LOTNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LOTPIND_WS,LOTPIND_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for LOTPIND,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_LOTPIND_WS_PT,LOTPIND_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for LOTPIND,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_MIGRNTAX_WS,MIGRNTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for MIGRNTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_MIGRNTAX_WS_PT,MIGRNTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for MIGRNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_MIGRPTAX_WS,MIGRPTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for MIGRPTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_MIGRPTAX_WS_PT,MIGRPTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for MIGRPTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_MMI_FISH,MMI_FISH,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for MMI_FISH,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,2,1
1314,fish_mmi_NAT_CARNNTAX_WS,NAT_CARNNTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for NAT_CARNNTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_CARNNTAX_WS_PT,NAT_CARNNTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for NAT_CARNNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_CATOPIND_PT,NAT_CATOPIND_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for NAT_CATOPIND,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_CENTNTAX_WS,NAT_CENTNTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for NAT_CENTNTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_CENTNTAX_WS_PT,NAT_CENTNTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for NAT_CENTNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_CYPRPIND_PT,NAT_CYPRPIND_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for NAT_CYPRPIND,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_HERBPTAX_PT,NAT_HERBPTAX_PT,Fish,NRSA 1314 Fish MMI,Score for NAT_HERBPTAX used in MMI,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_ICTAPIND_WS,NAT_ICTAPIND_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for NAT_ICTAPIND,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_ICTAPIND_WS_PT,NAT_ICTAPIND_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for NAT_ICTAPIND,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_INTLPIND_WS,NAT_INTLPIND_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for NAT_INTLPIND,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_INTLPIND_WS_PT,NAT_INTLPIND_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for NAT_INTLPIND,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_LITHPIND_WS,NAT_LITHPIND_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for NAT_LITHPIND,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_LITHPIND_WS_PT,NAT_LITHPIND_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for NAT_LITHPIND,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_MIGRNTAX_PT,NAT_MIGRNTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for NAT_MIGRNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_MIGRPTAX_WS,NAT_MIGRPTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for NAT_MIGRPTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_MIGRPTAX_WS_PT,NAT_MIGRPTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for NAT_MIGRPTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_NTOLBENTPTAX_PT,NAT_NTOLBENTPTAX_PT,Fish,NRSA 1314 Fish MMI,Score for NAT_NTOLBENTPTAX used in MMI,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_NTOLNTAX_PT,NAT_NTOLNTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for NAT_NTOLNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_NTOLNTAX_WS,NAT_NTOLNTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for NAT_NTOLNTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_NTOLNTAX_WS_PT,NAT_NTOLNTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for NAT_NTOLNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_PIND_PT,NAT_PIND_PT,Fish,NRSA 1314 Fish MMI,Score for NAT_PIND used in MMI,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_PTAX_PT,NAT_PTAX_PT,Fish,NRSA 1314 Fish MMI,Score for NAT_PTAX used in MMI,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_RHEOPIND_PT,NAT_RHEOPIND_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for NAT_RHEOPIND,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_TOTLNTAX_WS,NAT_TOTLNTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for NAT_TOTLNTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NAT_TOTLNTAX_WS_PT,NAT_TOTLNTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for NAT_TOTLNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NTOLNTAX_WS,NTOLNTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for NTOLNTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NTOLNTAX_WS_PT,NTOLNTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for NTOLNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NTOLPTAX_PT,NTOLPTAX_PT,Fish,NRSA 1314 Fish MMI,Score for NTOLPTAX used in MMI,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NTOLPTAX_WS,NTOLPTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for NTOLPTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_NTOLPTAX_WS_PT,NTOLPTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for NTOLPTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_PSTL_CODE,PSTL_CODE,Fish,NRSA 1314 Fish MMI,"State two-letter postal code | State two letter postal code 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing values allowed.",2013–2014 EPA metadata,DESIGN,,,,,Multiple protocol-specific labels — see Metadata Detail,fish_mmi,7,2
1314,fish_mmi_PUBLICATION_DATE,PUBLICATION_DATE,Fish,NRSA 1314 Fish MMI,Date of data file publication,2013–2014 EPA metadata,,,,,,Same label appears for multiple sample/record types,fish_mmi,9,3
1314,fish_mmi_RBCATONTAX_PT,RBCATONTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for RBCATONTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_RHEONTAX_PT,RHEONTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for RHEONTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_RHEOPIND_PT,RHEOPIND_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for RHEOPIND,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_RT_NRSA,RT_NRSA,Fish,NRSA 1314 Fish MMI,"NRSA Reference Class Assignment: R=reference, S=intermediate, T=impacted, ?=Cannot be evaluated due to missing info",2013–2014 EPA metadata,EVAL,,R|S|T|?,,,Single metadata definition,fish_mmi,2,1
1314,fish_mmi_SALMNTAX_PT,SALMNTAX_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI metric score for SALMNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_SAMPLED_FISH,SAMPLED_FISH,Fish,NRSA 1314 Fish MMI,Whether site sampled sufficiently,2013–2014 EPA metadata,FISH,,,,,Single metadata definition,fish_mmi,2,1
1314,fish_mmi_SITE_ID,SITE_ID,Fish,NRSA 1314 Fish MMI,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text. No missing values allowed. | Site ID",2013–2014 EPA metadata,DESIGN | VERIF,,,,,Multiple protocol-specific labels — see Metadata Detail,fish_mmi,14,2
1314,fish_mmi_SITETYPE,SITETYPE,Fish,NRSA 1314 Fish MMI,"Site type (Probability-based or hand-picked). PROB for sites from probability survey. Usually HAND for hand-picked sites. In EMAP West and WSA, STARHAND is used to identify hand-picked sites that do not have all CORE indicators available. | Site type (Probability-based or hand-picked)",2013–2014 EPA metadata,DESIGN,,PROB | HAND,,,Multiple protocol-specific labels — see Metadata Detail,fish_mmi,10,2
1314,fish_mmi_TOLRNTAX_PT,TOLRNTAX_PT,Fish,NRSA 1314 Fish MMI,Score for TOLRNTAX used in MMI,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_TOLRNTAX_WS,TOLRNTAX_WS,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for TOLRNTAX,2013–2014 EPA metadata,FISH,NONE,,,,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_TOLRNTAX_WS_PT,TOLRNTAX_WS_PT,Fish,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for TOLRNTAX,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_TOLRPTAX_PT,TOLRPTAX_PT,Fish,NRSA 1314 Fish MMI,Score for TOLRPTAX used in MMI,2013–2014 EPA metadata,FISH,NONE,,0.0,10.0,Single metadata definition,fish_mmi,1,1
1314,fish_mmi_UID,UID,Fish,NRSA 1314 Fish MMI,Unique site visit ID,2013–2014 EPA metadata,,,,,,Same label appears for multiple sample/record types,fish_mmi,15,3
1314,fish_mmi_VISIT_NO,VISIT_NO,Fish,NRSA 1314 Fish MMI,Number identifying which visit this is,2013–2014 EPA metadata,VERIF,,|1|2,,,Single metadata definition,fish_mmi,14,1
1314,fish_count_AG_ECO9_NM,AG_ECO9_NM,Fish,NRSA 1314 Fish Counts,,Not supplied in listed EPA metadata,DESIGN,,,,,No label supplied in listed EPA metadata,fish_count,7,1
1314,fish_count_ANOM_CT,ANOM_CT,Fish,NRSA 1314 Fish Counts,Total number of anomalies for taxon in sample,2018–2019 EPA metadata fallback,FISH,,,0.0,,2013 metadata label blank — later EPA definition supplied,fish_count,1,1
1314,fish_count_DATE_COL,DATE_COL,Fish,NRSA 1314 Fish Counts,Date collected | Date of data collection in field,2018–2019 EPA metadata fallback,VERIF,,,,,2013 metadata label blank — later EPA definition supplied,fish_count,14,1
1314,fish_count_FINAL_NAME,FINAL_NAME,Fish,NRSA 1314 Fish Counts,Final common name assigned to fish count data,2018–2019 EPA metadata fallback,TAXA: Invertebrates | TAXA: Vertebrate,,,,,2013 metadata label blank — later EPA definition supplied,fish_count,2,2
1314,fish_count_INDEX_VISIT,INDEX_VISIT,Fish,NRSA 1314 Fish Counts,,Not supplied in listed EPA metadata,VERIF,,,,,No label supplied in listed EPA metadata,fish_count,10,1
1314,fish_count_IS_DISTINCT,IS_DISTINCT,Fish,NRSA 1314 Fish Counts,Distinctness of taxon within sample,2018–2019 EPA metadata fallback,FISH,,0|1,,,2013 metadata label blank — later EPA definition supplied,fish_count,2,1
1314,fish_count_LAT_DD83,LAT_DD83,Fish,NRSA 1314 Fish Counts,,Not supplied in listed EPA metadata,DESIGN,,,,,No label supplied in listed EPA metadata,fish_count,8,1
1314,fish_count_LON_DD83,LON_DD83,Fish,NRSA 1314 Fish Counts,,Not supplied in listed EPA metadata,DESIGN,,,,,No label supplied in listed EPA metadata,fish_count,8,1
1314,fish_count_NON_NATIVE,NON_NATIVE,Fish,NRSA 1314 Fish Counts,Non-native status (Y/N) | Non-native to the HUC where sample was collected,2018–2019 EPA metadata fallback,FISH,,N|Y,,,2013 metadata label blank — later EPA definition supplied,fish_count,1,2
1314,fish_count_PSTL_CODE,PSTL_CODE,Fish,NRSA 1314 Fish Counts,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing or \blank\"" values allowed.""",2023–2024 EPA metadata fallback,DESIGN,,,,,2013 metadata label blank — later EPA definition supplied,fish_count,7,1
1314,fish_count_PUBLICATION_DATE,PUBLICATION_DATE,Fish,NRSA 1314 Fish Counts,Date of data file publication,2013–2014 EPA metadata,,,,,,Same label appears for multiple sample/record types,fish_count,9,3
1314,fish_count_SITE_ID,SITE_ID,Fish,NRSA 1314 Fish Counts,"Identification code for site | Site ID | Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing or \blank\"" values allowed.""",2018–2019 EPA metadata fallback,DESIGN | VERIF,,,,,2013 metadata label blank — later EPA definition supplied,fish_count,14,2
1314,fish_count_SITETYPE,SITETYPE,Fish,NRSA 1314 Fish Counts,"Site type (Probability-based or hand-picked). PROB for sites from probability survey. Usually HAND for hand-picked sites. In EMAP West and WSA, STARHAND is used to identify hand-picked sites that do not have all CORE indicators available.",2013–2014 EPA metadata,,,,,,Single metadata definition,fish_count,10,1
1314,fish_count_TAXA_ID,TAXA_ID,Fish,NRSA 1314 Fish Counts,Taxonomic ID number,2013–2014 EPA metadata,,,,,,Same label appears for multiple sample/record types,fish_count,2,3
1314,fish_count_TOTAL,TOTAL,Fish,NRSA 1314 Fish Counts,Total number of individuals for taxon in sample,2018–2019 EPA metadata fallback,FISH,,,0.0,,2013 metadata label blank — later EPA definition supplied,fish_count,2,1
1314,fish_count_UID,UID,Fish,NRSA 1314 Fish Counts,Unique site visit ID,2013–2014 EPA metadata,,,,,,Same label appears for multiple sample/record types,fish_count,15,3
1314,fish_count_VISIT_NO,VISIT_NO,Fish,NRSA 1314 Fish Counts,Sequential number of visit to site | Number identifying which visit this is,2018–2019 EPA metadata fallback,VERIF,,|1|2,,,2013 metadata label blank — later EPA definition supplied,fish_count,14,1
1314,fish_metrics_AG_ECO9_NM,AG_ECO9_NM,Fish,NRSA 1314 Fish Metric Values,NARS 9-level reporting region Name | NARS 9-level reporting region name Text names. No missing values allowed.,2013–2014 EPA metadata,DESIGN,,Text names,,,Multiple protocol-specific labels — see Metadata Detail,fish_metrics,7,2
1314,fish_metrics_ALIENNTAX,ALIENNTAX,Fish,NRSA 1314 Fish Metric Values,Number of non-native (alien) taxa,2013–2014 EPA metadata,FISH,,,0.0,,Single metadata definition,fish_metrics,1,1
1314,fish_metrics_ALIENPIND,ALIENPIND,Fish,NRSA 1314 Fish Metric Values,% alien individuals,2013–2014 EPA metadata,FISH,,,0.0,100.0,Single metadata definition,fish_metrics,1,1
