cycle,database_style_key,epa_short_name,indicator,source_dataset,epa_definition_what_it_measures,definition_source,sample_or_record_type_s,units,legal_values_format,range_low,range_high,definition_status,convenience_prefix,appears_in_count_datasets,metadata_record_count
1314,keyvars_MAJ_BAS_NM,MAJ_BAS_NM,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Major USGS Hydrologic Basins derived from NHDPlus Names,2013–2014 EPA metadata,DESIGN,,Text of 16 basin names,,,Single metadata definition,keyvars,2,1
1314,keyvars_MERCURY_COMMENT,MERCURY_COMMENT,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Comment to indicate reason mercury data not used in assessment,2013–2014 EPA metadata,FPLG | FPLL,,,,,Same label appears for multiple sample/record types,keyvars,2,2
1314,keyvars_MERCURY_DATA_FLAG,MERCURY_DATA_FLAG,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Laboratory or OW flag of result for Mercury,2013–2014 EPA metadata,FPLG | FPLL,,,,,Same label appears for multiple sample/record types,keyvars,2,2
1314,keyvars_MERCURY_FLAG,MERCURY_FLAG,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,NARS flag for analyte Mercury,2013–2014 EPA metadata,,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_MERCURY_MDL,MERCURY_MDL,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Minimum Detection Limit for Mercury in Fish Tissue - NG/G,2013–2014 EPA metadata,FPLG,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_MERCURY_RESULT,MERCURY_RESULT,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Result for Mercury in Fish Tissue - NG/G,2013–2014 EPA metadata,FPLG,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_MERCURY_RL,MERCURY_RL,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Reporting Limit for Mercury in Fish Tissue - NG/G,2013–2014 EPA metadata,FPLG,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_MICX_COND,MICX_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Microcystin condition class,2013–2014 EPA metadata,MICX,,<= 8 ug/L|> 8 ug/L|Not Detected,,,Single metadata definition,keyvars,1,1
1314,keyvars_MICX_FLAG,MICX_FLAG,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,NARS flag for analyte Microcystin,2013–2014 EPA metadata,,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_MICX_MDL,MICX_MDL,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Minimum Detection Limit for Microcystin - UG/L,2013–2014 EPA metadata,MICX,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_MICX_RESULT,MICX_RESULT,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Result for Microcystin - UG/L,2013–2014 EPA metadata,MICX,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_MICX_RL,MICX_RL,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Reporting Limit for Microcystin - UG/L,2013–2014 EPA metadata,MICX,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_MISS_BASIN_NM,MISS_BASIN_NM,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Mississippi basin name,2013–2014 EPA metadata,DESIGN,,Ohio Region|Tennessee Region|Upper Mississippi Region|Lower Mississippi Region|Lower Missouri Region|Upper Missouri Region|Arkansas-White-Red Region,,,Single metadata definition,keyvars,2,1
1314,keyvars_MMI_BENT,MMI_BENT,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Benthic MMI score,2013–2014 EPA metadata,BERW | BETB,,Good|Fair|Poor|Not Assessed,0.0,100.0,Same label appears for multiple sample/record types,keyvars,2,2
1314,keyvars_MMI_FISH,MMI_FISH,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Traditional MMI watershed adjusted value for MMI_FISH,2013–2014 EPA metadata,FISH,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_NARS_OWN,NARS_OWN,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Land ownership category used by NARS,2013–2014 EPA metadata,DESIGN,,Text of 13 land ownership category names,,,Single metadata definition,keyvars,2,1
1314,keyvars_NRS13_EVAL,NRS13_EVAL,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,NRSA 2013/14 site evaluation result.,2013–2014 EPA metadata,DESIGN,,Text,,,Single metadata definition,keyvars,2,1
1314,keyvars_NRS13_MDC,NRS13_MDC,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Multi-density categories used in NRSA 2013/14 survey design within a stratum,2013–2014 EPA metadata,DESIGN,,Text,,,Single metadata definition,keyvars,2,1
1314,keyvars_NRS13_PNL,NRS13_PNL,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,NRSA 2013/14 Panel Assignment,2013–2014 EPA metadata,DESIGN,,"Text that has form NRSnn_mmXXXn_YYYY, where nn is current cycle year (07, 12, 17, etc), mm is cycle year stream site was first selected for sampling, XXXn denotes revisit status, and YYYY denotes base or over sample status. XXXN equals either RVT2 (if site should be visited twice in current cycle year) or RVT (if site should be visited once in current cycle and was previously visited in a prior cycle year) and is blank otherwise. YYYY is either blank (if the stream site is a base site) or equals OverSamp (if the stream site is an over sample site). Note: For state specific designs, state two letter code is added.",,,Single metadata definition,keyvars,2,1
1314,keyvars_NRS13_SF,NRS13_SF,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Lake included/excluded from NRSA 2013/14 survey design,2013–2014 EPA metadata,DESIGN,,Exclude|Include | Not Present Blank values are not allowed or NA for missing,,,Single metadata definition,keyvars,2,1
1314,keyvars_NRS13_STRA,NRS13_STRA,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Strata used in NRSA 2013/14 survey design,2013–2014 EPA metadata,DESIGN,,Text,,,Single metadata definition,keyvars,2,1
1314,keyvars_NRS13_TNT,NRS13_TNT,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,NRS 2013/14 target status assigned based on stream site evaluation for use in national assessments.,2013–2014 EPA metadata,DESIGN,,Target | Target_Presumed |Uncertain | Non_Target | Not_Needed | blank,,,Single metadata definition,keyvars,2,1
1314,keyvars_NRS13_URBN,NRS13_URBN,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Stream site identified as an urban or non-urban stream. Source: https://www.census.gov/geo/maps-data/data/cbf/cbf_ua.html. Used 2015 Urban Areas cartographic boundaries shapefile,2013–2014 EPA metadata,DESIGN,,NonUrban|Urban,,,Single metadata definition,keyvars,2,1
