cycle,dataset_id,indicator,official_epa_dataset,convenience_prefix,data_file,metadata_file,unique_fields,metadata_records,epa_data_url,epa_metadata_url
1314,KEY_VARIABLES,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,keyvars,nrsa1314_allcond_05312019_0.csv,nrsa1314_allcond_meta_05312019.txt,65,81,https://www.epa.gov/sites/default/files/2019-05/nrsa1314_allcond_05312019_0.csv,https://www.epa.gov/sites/default/files/2019-05/nrsa1314_allcond_meta_05312019.txt
1314,ALGAL_TOXIN,Algal Toxin,NRSA 1314 Microcystin,algaltox,nrsa1314_micx_04232019.csv,nrsa1314_micx_meta_04292019.txt,10,13,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_micx_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_micx_meta_04292019.txt
1314,BENTHIC_MMI,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate MMI,benthic_mmi,nrsa1314_bentmmi_04232019.csv,nrsa1314_bentmmi_meta_04292019.txt,21,43,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_bentmmi_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_bentmmi_meta_04292019.txt
1314,BENTHIC_TAXA,Benthic Macroinvertebrates,NRSA 1314 Benthic Taxa List,benthic_taxa,nrsa1314_benttaxa_02012019.csv,nrsa1314_benttaxa_meta_04292019.txt,20,25,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_benttaxa_02012019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_benttaxa_meta_04292019.txt
1314,BENTHIC_COUNT,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate Count,benthic_count,nrsa1314_bentcnts_04232019.csv,nrsa1314_bentcnts_meta_04292019.txt,12,14,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_bentcnts_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_bentcnts_meta_04292019.txt
1314,BENTHIC_METRICS,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate Metrics,benthic_metrics,nrsa1314_bentmet_02132019.csv,nrsa1314_bentmet_meta_04292019.txt,172,352,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_bentmet_02132019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_bentmet_meta_04292019.txt
1314,PERIPHYTON_CHLA,Chlorophyll-a,NRSA 1314 Periphyton Chlorophyll,periphyton_chla,nrsa1314_widepchl_04232019.csv,nrsa1314_widepchl_meta_04292019.txt,21,40,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_widepchl_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_widepchl_meta_04292019.txt
1314,WATER_COLUMN_CHLA,Chlorophyll-a,NRSA 1314 Water Column Chlorophyll,watercolumn_chla,nrsa1314_widewchl_04232019.csv,nrsa1314_widewchl_meta_04292019.txt,19,38,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_widewchl_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_widewchl_meta_04292019.txt
1314,ENTEROCOCCI,Enterococci,NRSA 1314 Enterococci Indicator,enterococci,nrsa1314_ente_04232019.csv,nrsa1314_ente_meta_04292019.txt,7,9,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_ente_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_ente_meta_04292019.txt
1314,FIELD_CHEMISTRY,Field Chemistry Measures,NRSA 1314 Field Chemistry Measures,fieldchem,nrsa1314_wide_field_meas_04232019.csv,nrsa1314_wide_field_meas_meta_04292019.txt,15,15,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_wide_field_meas_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_wide_field_meas_meta_04292019.txt
