cycle,dataset_id,indicator,official_epa_dataset,convenience_prefix,data_file,metadata_file,unique_fields,metadata_records,epa_data_url,epa_metadata_url
1314,FISH_MMI,Fish,NRSA 1314 Fish MMI,fish_mmi,nrsa1314_fishmmi_04232019.csv,nrsa1314_fish_meta_04292019.txt,97,107,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_fishmmi_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_fish_meta_04292019.txt
1314,FISH_COUNT,Fish,NRSA 1314 Fish Counts,fish_count,nrsa1314_fishcts_04232019.csv,nrsa1314_fishcts_meta_04292019_0.txt,17,26,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_fishcts_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_fishcts_meta_04292019_0.txt
1314,FISH_METRICS,Fish,NRSA 1314 Fish Metric Values,fish_metrics,nrsa1314_fishmet_04232019.csv,nrsa1314_fishmet_meta_04292019.txt,195,207,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_fishmet_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_fishmet_meta_04292019.txt
1314,FISH_TAXA,Fish,NRSA 1314 Fish Taxa List,fish_taxa,nrsa1314_fishtaxa_02042019.csv,nrsa1314_fishtaxa_meta_04292019.txt,15,15,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_fishtaxa_02042019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_fishtaxa_meta_04292019.txt
1314,FISH_MERCURY,Fish,NRSA 1314 Mercury in Fish Tissue Plugs,fish_hg,nrsa1314_fishplug_hg_04292019.csv,nrsa1314_fishplugs_hg_meta_04292019.txt,12,18,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_fishplug_hg_04292019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_fishplugs_hg_meta_04292019.txt
1314,LANDSCAPE,Landscape Data,NRSA 1314 Landscape Metrics,landscape,nrsa1314_landmet_02132019.csv,nrsa1314_landmet_meta_04292019.txt,102,114,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_landmet_02132019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_landmet_meta_04292019.txt
1314,PERIPHYTON_BIOMASS,Periphyton Biomass,NRSA 1314 Periphyton Biomass,periphyton_biomass,nrsa1314_widepbio_04232019.csv,nrsa1314_widepbio_meta_04292019.txt,18,18,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_widepbio_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_widepbio_meta_04292019.txt
1314,PHAB_INDICATORS,Physical Habitat,NRSA 1314 Physical Habitat Indicator Metrics,phab_indicator,nrsa1314_phab_04232019.csv,nrsa1314_phab_meta_04292019.txt,10,14,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_phab_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_phab_meta_04292019.txt
1314,PHAB_COMMON,Physical Habitat,NRSA 1314 Physical Habitat Most Common Metrics,phab_common,nrsa1314_phablow_04232019.csv,nrsa1314_phablow_meta_04292019.txt,75,78,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_phablow_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_phablow_meta_04292019.txt
1314,PHAB_LARGER,Physical Habitat,NRSA 1314 Physical Habitat Larger Set of Metrics,phab,nrsa1314_phabmed_04232019.csv,nrsa1314_phabmed_meta_04292019.txt,173,176,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_phabmed_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_phabmed_meta_04292019.txt
1314,SITE_INFO,Site Information,NRSA 1314 Site Information,siteinfo,nrsa1314_siteinformation_wide_04292019.csv,nrsa1314_sitesuids_wide_meta_04292019.txt,82,82,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_siteinformation_wide_04292019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_sitesuids_wide_meta_04292019.txt
1314,WATER_CHEMISTRY,Water Chemistry,NRSA 1314 Water Chemistry,waterchem,nrsa1314_widechem_04232019.csv,nrsa1314_widechem_meta_04292019.txt,262,262,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_widechem_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_widechem_meta_04292019.txt
1314,WATER_CHEM_INDICATORS,Water Chemistry,NRSA 1314 Water Chemistry Indicator Values,waterchem_indicator,nrsa1314_chem_04232019.csv,nrsa1314_chem_meta_04292019.txt,11,13,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_chem_04232019.csv,https://www.epa.gov/sites/default/files/2019-04/nrsa1314_chem_meta_04292019.txt
