cycle,dataset_id,indicator,official_epa_dataset,convenience_prefix,data_file,metadata_file,unique_fields,metadata_records,epa_data_url,epa_metadata_url
1819,ALGAL_TOXIN,Algal Toxin,NRSA 1819 Algal Toxin,algaltox,nrsa_1819_algal_toxin_-_data.csv,nrsa_1819_algal_toxin_-_metadata.txt,28,36,https://www.epa.gov/sites/default/files/2021-04/nrsa_1819_algal_toxin_-_data.csv,https://www.epa.gov/sites/default/files/2021-04/nrsa_1819_algal_toxin_-_metadata.txt
1819,BENTHIC_COUNT,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate Count,benthic_count,nrsa_1819_benthic_macroinvertebrate_count_-_data.csv,nrsa_1819_benthic_macroinvertebrate_count_-_metadata.txt,27,33,https://www.epa.gov/sites/default/files/2021-04/nrsa_1819_benthic_macroinvertebrate_count_-_data.csv,https://www.epa.gov/sites/default/files/2021-04/nrsa_1819_benthic_macroinvertebrate_count_-_metadata.txt
1819,BENTHIC_MMI,Benthic Macroinvertebrates,NRSA 1819 Benthic Macroinvertebrate MMI,benthic_mmi,nrsa-1819-benthic-macroinvertebrate-mmi-data.csv,nrsa-1819-benthic-macroinvertebrate-mmi-metadata.txt,18,20,https://www.epa.gov/system/files/other-files/2025-03/nrsa-1819-benthic-macroinvertebrate-mmi-data.csv,https://www.epa.gov/system/files/other-files/2025-03/nrsa-1819-benthic-macroinvertebrate-mmi-metadata.txt
1819,FISH_MERCURY,Fish,NRSA 1819 Mercury in Fish Tissue Plugs,fish_hg,nrsa_1819_mercury_in_fish_tissue_plugs_-_data.csv,nrsa_1819_mercury_in_fish_tissue_plugs_-_metadata_.txt,27,27,https://www.epa.gov/sites/default/files/2021-04/nrsa_1819_mercury_in_fish_tissue_plugs_-_data.csv,https://www.epa.gov/sites/default/files/2021-04/nrsa_1819_mercury_in_fish_tissue_plugs_-_metadata_.txt
1819,FISH_SAMPLING,Fish,NRSA 1819 Fish Sampling Information,fish_sampling,nrsa-1819-fish-sampling-information-data.csv,nrsa-1819-fish-sampling-information-metadata.txt,120,120,https://www.epa.gov/system/files/other-files/2022-03/nrsa-1819-fish-sampling-information-data.csv,https://www.epa.gov/system/files/other-files/2022-03/nrsa-1819-fish-sampling-information-metadata.txt
1819,FISH_COUNT,Fish,NRSA 1819 Fish Count,fish_count,nrsa-1819-fish-count-data.csv,nrsa-1819-fish-count-metadata.txt,14,15,https://www.epa.gov/system/files/other-files/2022-03/nrsa-1819-fish-count-data.csv,https://www.epa.gov/system/files/other-files/2022-03/nrsa-1819-fish-count-metadata.txt
1819,FISH_MMI,Fish,NRSA 1819 Fish MMI,fish_mmi,nrsa-1819-fish-mmi-data.csv,nrsa-1819-fish-mmi-metadata.txt,93,93,https://www.epa.gov/system/files/other-files/2025-03/nrsa-1819-fish-mmi-data.csv,https://www.epa.gov/system/files/other-files/2025-03/nrsa-1819-fish-mmi-metadata.txt
1819,PHAB,Physical Habitat,NRSA 1819 Physical Habitat Larger Set of Metrics,phab,nrsa_1819_physical_habitat_larger_set_of_metrics_-_data.csv,nrsa_1819_physical_habitat_larger_set_of_metrics_-_metadata.txt,179,218,https://www.epa.gov/sites/default/files/2021-04/nrsa_1819_physical_habitat_larger_set_of_metrics_-_data.csv,https://www.epa.gov/sites/default/files/2021-04/nrsa_1819_physical_habitat_larger_set_of_metrics_-_metadata.txt
1819,SITE_INFO,Site Information,NRSA 1819 Site Information,siteinfo,NRSA_1819_SiteInfo.csv,NRSA18_19_Site_Information_Metadata.txt,83,138,https://www.epa.gov/system/files/other-files/2023-01/NRSA_1819_SiteInfo.csv,https://www.epa.gov/system/files/other-files/2023-01/NRSA18_19_Site_Information_Metadata.txt
1819,WATER_CHEMISTRY,Water Chemistry,NRSA 1819 Water Chemistry and Chlorophyll-a,waterchem,nrsa_1819_water_chemistry_chla_-_data.csv,nrsa_1819_water_chemistry_chla_-_metadata.txt,245,246,https://www.epa.gov/sites/default/files/2021-04/nrsa_1819_water_chemistry_chla_-_data.csv,https://www.epa.gov/sites/default/files/2021-04/nrsa_1819_water_chemistry_chla_-_metadata.txt
