cycle,source_dataset,indicator,database_style_key,epa_short_name,epa_label_description,boatable_label,wadeable_label,sample_or_record_type,units,legal_values_format,range_low,range_high,metadata_name_column,convenience_prefix
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MERCURY_COMMENT,MERCURY_COMMENT,Comment to indicate reason mercury data not used in assessment,,,FPLG,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MERCURY_COMMENT,MERCURY_COMMENT,Comment to indicate reason mercury data not used in assessment,,,FPLL,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MERCURY_DATA_FLAG,MERCURY_DATA_FLAG,Laboratory or OW flag of result for Mercury,,,FPLG,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MERCURY_DATA_FLAG,MERCURY_DATA_FLAG,Laboratory or OW flag of result for Mercury,,,FPLL,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MERCURY_FLAG,MERCURY_FLAG,NARS flag for analyte Mercury,,,,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MERCURY_MDL,MERCURY_MDL,Minimum Detection Limit for Mercury in Fish Tissue - NG/G,,,FPLG,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MERCURY_RESULT,MERCURY_RESULT,Result for Mercury in Fish Tissue - NG/G,,,FPLG,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MERCURY_RL,MERCURY_RL,Reporting Limit for Mercury in Fish Tissue - NG/G,,,FPLG,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MICX_COND,MICX_COND,Microcystin condition class,,,MICX,,<= 8 ug/L|> 8 ug/L|Not Detected,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MICX_FLAG,MICX_FLAG,NARS flag for analyte Microcystin,,,,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MICX_MDL,MICX_MDL,Minimum Detection Limit for Microcystin - UG/L,,,MICX,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MICX_RESULT,MICX_RESULT,Result for Microcystin - UG/L,,,MICX,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MICX_RL,MICX_RL,Reporting Limit for Microcystin - UG/L,,,MICX,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MISS_BASIN_NM,MISS_BASIN_NM,Mississippi basin name,,,DESIGN,,Ohio Region|Tennessee Region|Upper Mississippi Region|Lower Mississippi Region|Lower Missouri Region|Upper Missouri Region|Arkansas-White-Red Region,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MMI_BENT,MMI_BENT,Benthic MMI score,,,BERW,,Good|Fair|Poor|Not Assessed,0.0,100.0,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MMI_BENT,MMI_BENT,Benthic MMI score,,,BETB,,Good|Fair|Poor|Not Assessed,0.0,100.0,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_MMI_FISH,MMI_FISH,Traditional MMI watershed adjusted value for MMI_FISH,,,FISH,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_NARS_OWN,NARS_OWN,Land ownership category used by NARS,,,DESIGN,,Text of 13 land ownership category names,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_NRS13_EVAL,NRS13_EVAL,NRSA 2013/14 site evaluation result.,,,DESIGN,,Text,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_NRS13_MDC,NRS13_MDC,Multi-density categories used in NRSA 2013/14 survey design within a stratum,,,DESIGN,,Text,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_NRS13_PNL,NRS13_PNL,NRSA 2013/14 Panel Assignment,,,DESIGN,,"Text that has form NRSnn_mmXXXn_YYYY, where nn is current cycle year (07, 12, 17, etc), mm is cycle year stream site was first selected for sampling, XXXn denotes revisit status, and YYYY denotes base or over sample status. XXXN equals either RVT2 (if site should be visited twice in current cycle year) or RVT (if site should be visited once in current cycle and was previously visited in a prior cycle year) and is blank otherwise. YYYY is either blank (if the stream site is a base site) or equals OverSamp (if the stream site is an over sample site). Note: For state specific designs, state two letter code is added.",,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_NRS13_SF,NRS13_SF,Lake included/excluded from NRSA 2013/14 survey design,,,DESIGN,,Exclude|Include | Not Present Blank values are not allowed or NA for missing,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_NRS13_STRA,NRS13_STRA,Strata used in NRSA 2013/14 survey design,,,DESIGN,,Text,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_NRS13_TNT,NRS13_TNT,NRS 2013/14 target status assigned based on stream site evaluation for use in national assessments.,,,DESIGN,,Target | Target_Presumed |Uncertain | Non_Target | Not_Needed | blank,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_NRS13_URBN,NRS13_URBN,Stream site identified as an urban or non-urban stream. Source: https://www.census.gov/geo/maps-data/data/cbf/cbf_ua.html. Used 2015 Urban Areas cartographic boundaries shapefile,,,DESIGN,,NonUrban|Urban,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_NRS13_VST,NRS13_VST,Number of times NRSA 2013/14 site was actually sampled in 2013/14,,,DESIGN,,Zero | One | Two Blank is site not evaluated,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_NTL_COND,NTL_COND,Site condition class based on total nitrogen concentration,,,CHEM,,Good|Fair|Poor|No Data,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_NTL_UG_L,NTL_UG_L,Total Nitrogen - UG N/L,,,CHEM,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_OE_COND,OE_COND,Condition class based on O/E score,,,BERW,,<0.5|<0.8|<0.9|>=0.9,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_OE_COND,OE_COND,Condition class based on O/E score,,,BETB,,<0.5|<0.8|<0.9|>=0.9,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_OE_SCORE,OE_SCORE,O/E score for benthic sample,,,BERW,,,0.0,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_OE_SCORE,OE_SCORE,O/E score for benthic sample,,,BETB,,,0.0,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_PH,PH,pH - STD. UNITS,,,CHEM,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_PH,PH,PH,,,FIELDMEAS,,,1.0,14.0,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_PTL,PTL,Total Phosphorus - UG/L,,,CHEM,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_PTL_COND,PTL_COND,Site condition class based on total phosphorus concentration,,,CHEM,,Good|Fair|Poor|No Data,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_PUBLICATION_DATE,PUBLICATION_DATE,Date of data file publication,,,,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_RIPDIST_COND,RIPDIST_COND,"Riparian disturbance condition, based on W1_HALL",,,PHAB,,Low|Medium|High|Not Assessed,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_RIPVEG_COND,RIPVEG_COND,"Riparian vegetation condition, based on L_XCMGW",,,PHAB,,Good|Fair|Poor|Not Assessed,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_SAL_COND,SAL_COND,Site condition class based on conductivity,,,CHEM,,Good|Fair|Poor|No Data,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_SITE_ID,SITE_ID,Site ID,,,,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_SITE_ID,SITE_ID,Unique Site ID assigned for NRSA13-14,,,LANDSCAPE,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_SITE_ID,SITE_ID,NRSA site id as used on sample label,,,PERI,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_SITE_ID,SITE_ID,Site ID,,,VERIF,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_STRAH_CAT,STRAH_CAT,Strahler category used to classify reaches. RiversMajor (5th and higher) RiversOther (5th and higher) LargeStreams (3rd and 4th) SmallStreams (1st and 2nd),,,DESIGN,,RiversMajor | RiversOther | LargeStreams | SmallStreams,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_UID,UID,Unique site visit ID,,,,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_VISIT_NO,VISIT_NO,Number identifying which visit this is,,,,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_VISIT_NO,VISIT_NO,Number identifying which visit this is,,,VERIF,,|1|2,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_W1_HALL,W1_HALL,Human Disturbance Index(distance-wtd tally of types and presence used for condition,,,PHAB,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_W1_HALL,W1_HALL,Human Disturbance Index(distance-wtd tally of types and presence,,,PHab boatable: human disturbance,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_W1_HALL,W1_HALL,Human Disturbance Index(distance-wtd tally of types and presence,,,PHab wadeable: human disturbance,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_WGT_EXT_SP,WGT_EXT_SP,Length of sampled streams represented by site in km,,,DESIGN,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_XCOORD,XCOORD,x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection,,,DESIGN,,Numeric,,,PARAMETER,keyvars
